x,y,heights,dt,conf,stype,ssh_flag,gauss,photon_rate,cloud,mss,ocean,lpe,ib
600003.1574240002,9588029.95494756,-0.03930664,144088538.29816958,0.008917138,1,0,0.175,5.44,2,18.041235,-0.004652585,0.057595227,-0.066860855
600000.8774409299,9588022.722238593,-0.049512863,144088538.2992345,0.00937314,1,0,0.164,6.6190476,2,18.041195,-0.004652578,0.05759517,-0.0668607
599998.913746195,9588016.497519271,-0.0090065,144088538.3001516,0.01814479,1,0,0.147,6.4761906,2,18.041166,-0.004652577,0.05759517,-0.066860646
599996.5647328021,9588009.060944209,0.01899147,144088538.3012483,0.015845144,1,0,0.20199999,6.1666665,2,18.041128,-0.0046525677,0.05759517,-0.066860646
599993.9885263979,9588000.920293473,-0.11185455,144088538.30245012,0.015417794,1,0,0.195,5.9166665,2,18.0411,-0.0046525635,0.057595167,-0.06686061
599991.8525166196,9587994.180292051,-0.15164185,144088538.30344623,0.015353628,1,0,0.155,5.9130435,2,18.041092,-0.0046525635,0.057595167,-0.06686042
599989.2815037307,9587986.078516752,-0.13755608,144088538.30464506,0.0110084545,1,0,0.15799999,5.48,2,18.04103,-0.004652561,0.05759516,-0.0668602
599986.6360336392,9587977.758564183,-0.13518715,144088538.3058775,0.027357416,1,0,0.137,5.76,2,18.041018,-0.0046525584,0.057595145,-0.0668599
599983.9533042343,9587969.332922705,-0.10467529,144088538.30712676,0.02691722,1,0,0.131,5.8846154,2,18.04097,-0.004652548,0.05759515,-0.06685989
599981.520495174,9587961.686798,-0.09249306,144088538.3082596,0.017132094,1,0,0.109,5.7083335,2,18.040947,-0.0046525435,0.057595145,-0.0668599
599979.6010175936,9587955.683192952,-0.10759735,144088538.30915186,0.02232654,1,0,0.117,7.5,2,18.040878,-0.0046525444,0.057595015,-0.06685965
599977.9826701273,9587950.657638764,-0.15517998,144088538.30990246,0.02212856,1,0,0.114999995,8.235294,2,18.040861,-0.004652541,0.05759492,-0.06685962
599976.5673638419,9587946.274625398,-0.19100952,144088538.31055808,0.020790765,1,0,0.121,8.9375,2,18.040844,-0.00465254,0.057594933,-0.066859424
599974.6069756895,9587940.209073553,-0.16338158,144088538.31146586,0.020647945,1,0,0.16,7.4,2,18.040844,-0.00465254,0.057594933,-0.066859424
599972.3226472193,9587933.147424636,-0.13207436,144088538.31252316,0.01776206,1,0,0.182,6.2608695,2,18.040804,-0.0046525397,0.057594925,-0.06685935
599969.6253601989,9587924.81813435,-0.109724045,144088538.31377095,0.015048599,1,0,0.199,5.423077,2,18.040771,-0.004652539,0.057594918,-0.06685935
599967.0228688119,9587916.790268326,-0.08996391,144088538.31497374,0.018028142,1,0,0.215,5.48,2,18.040743,-0.0046525216,0.057594918,-0.066858746
599964.5476896582,9587909.156844355,-0.16757965,144088538.31611732,0.019671561,1,0,0.14099999,5.9565215,2,18.0407,-0.004652521,0.057594907,-0.06685824
599962.4490222577,9587902.686398065,-0.18493271,144088538.3170867,0.018376589,1,0,0.131,6.4761906,2,18.04069,-0.00465252,0.057594918,-0.06685831
599960.3747883944,9587896.2911451,-0.14450455,144088538.3180445,0.014519165,1,0,0.148,6.7619047,2,18.040632,-0.00465252,0.05759492,-0.06685809
599958.0511017562,9587889.123647176,-0.05678177,144088538.3191172,0.019528842,1,0,0.159,6.4347825,2,18.040596,-0.0046525192,0.057594914,-0.06685809
599955.6106132102,9587881.591684604,0.0363636,144088538.3202437,0.015743043,1,0,0.20899999,6.304348,2,18.040596,-0.0046525197,0.057594907,-0.06685807
599953.441129347,9587874.891986158,0.060123444,144088538.32124496,0.018571343,1,0,0.19399999,6.6666665,2,18.040546,-0.004652519,0.057594866,-0.06685774
599951.0757348398,9587867.582119584,-0.028499603,144088538.32233652,0.024072189,1,0,0.14299999,6.4545455,2,18.040525,-0.004652517,0.05759485,-0.066857636
599949.0925466993,9587861.447999202,-0.056707382,144088538.3232517,0.023821564,1,0,0.134,6.2727275,2,18.040524,-0.0046525174,0.05759484,-0.06685734
599945.9991485283,9587851.857762486,-0.07485199,144088538.32467988,0.013500156,1,0,0.127,3.2619047,2,18.040438,-0.004652517,0.057594847,-0.066857114
599939.773708518,9587832.521141442,-0.16178131,144088538.3275558,0.03168988,1,0,0.08,4.2647057,2,18.04032,-0.0046525057,0.05759483,-0.06685699
599938.5965060383,9587828.86229763,-0.17139244,144088538.32809988,0.03886123,1,0,0.071,6.904762,2,18.040306,-0.0046525053,0.05759483,-0.06685691
599937.4433395388,9587825.270744156,-0.1784668,144088538.32863313,0.044278976,1,0,0.069,7.8421054,2,18.040306,-0.0046525053,0.05759483,-0.066856764
599934.1622371356,9587814.97627636,-0.18208885,144088538.33015037,0.01889652,1,0,0.092999995,4.225806,2,18.0403,-0.0046525043,0.05759482,-0.066856116
599930.5983287041,9587803.756848907,-0.10692024,144088538.33179826,0.01823767,1,0,0.13499999,5.88,2,18.04027,-0.0046525015,0.05759473,-0.06685568
599929.7564432366,9587801.101452274,-0.14334297,144088538.33218777,0.0112122465,1,0,0.134,8.9375,2,18.040245,-0.0046525015,0.05759473,-0.06685568
599928.0422945102,9587795.687965602,-0.031194687,144088538.3329817,3.4028235e+38,1,0,3.4028235e+38,7.368421,2,18.040194,-0.0046525006,0.057594728,-0.06685574
599925.8848359851,9587788.868257895,-0.11467934,144088538.33398086,0.007931048,1,0,0.503,7.3157897,2,18.040192,-0.0046525006,0.05759474,-0.06685577
599924.1546088442,9587783.393919958,-0.16773605,144088538.33478305,0.013543097,1,0,0.26099998,7.6666665,2,18.04011,-0.0046525,0.057594728,-0.06685545
599922.0725656823,9587776.79659266,-0.10573578,144088538.33574885,0.012150289,1,0,0.179,5.6666665,2,18.040071,-0.0046524997,0.057594728,-0.06685512
599918.6737745105,9587766.010837551,-0.044218063,144088538.33732775,0.022288142,1,0,0.155,4.6896553,2,18.04006,-0.0046524988,0.05759473,-0.06685517
599915.9223795319,9587757.26868297,-0.028230667,144088538.33860737,0.020813996,1,0,0.163,5.148148,2,18.040033,-0.004652496,0.057594724,-0.06685524
599913.4799231769,9587749.501498004,-0.05038452,144088538.33974427,0.019522648,1,0,0.17199999,5.6666665,2,18.040022,-0.004652495,0.057594717,-0.06685506
599911.4729375158,9587743.114345953,-0.038461685,144088538.34067962,0.020965256,1,0,0.166,6.409091,2,18.039984,-0.0046524866,0.05759472,-0.06685482
599909.1368628098,9587735.676523862,-0.07256317,144088538.34176937,0.01855888,1,0,0.19199999,6.2272725,2,18.03995,-0.0046524834,0.057594705,-0.06685458
599907.5072494088,9587730.487451373,-0.1591053,144088538.34252977,0.017325372,1,0,0.184,7.8333335,2,18.03994,-0.0046524834,0.057594705,-0.06685452
599905.9251632426,9587725.4492941,-0.20313454,144088538.34326887,0.02855257,1,0,0.099999994,8.235294,2,18.039864,-0.0046524834,0.057594698,-0.06685413
599904.3490990977,9587720.42892692,-0.21269226,144088538.3440053,0.03822658,1,0,0.088999994,9.666667,2,18.039824,-0.0046524806,0.05759464,-0.06685386
599903.0210065193,9587716.19806824,-0.2482605,144088538.3446267,0.018675394,1,0,0.089999996,9.928572,2,18.039816,-0.00465248,0.05759464,-0.0668539
599901.4191974258,9587711.095771205,-0.19059372,144088538.34537593,0.045414574,1,0,0.077,9.714286,2,18.039816,-0.004652479,0.057594653,-0.066853836
599900.1446625282,9587707.036294991,-0.13367653,144088538.34597272,0.035053022,1,0,0.083,9.642858,2,18.039816,-0.0046524624,0.057594653,-0.066853836
599898.7518790164,9587702.600523798,-0.17185211,144088538.3466252,0.011057311,1,0,0.19299999,9.0625,2,18.039791,-0.004652461,0.05759464,-0.06685381
599896.9557928721,9587696.883952308,0.06254768,144088538.347466,0.008631221,1,0,0.511,7.0,2,18.039778,-0.0046524615,0.057594646,-0.066854045
599894.6397303545,9587689.51782521,0.12994194,144088538.34854898,0.0086752735,1,0,0.38099998,6.571429,2,18.0397,-0.004652461,0.05759464,-0.0668534
599892.6496429628,9587683.192526251,0.08036995,144088538.3494826,0.009145244,1,0,0.329,6.65,2,18.039656,-0.0046524582,0.057594635,-0.066852875
599890.8667467551,9587677.530272575,0.03544998,144088538.3503236,0.009655789,1,0,0.283,6.7,2,18.03964,-0.004652458,0.057594627,-0.06685265
599888.5917318302,9587670.311004426,-0.00088119507,144088538.35139677,0.009695135,1,0,0.322,6.181818,2,18.039629,-0.004652458,0.057594635,-0.06685269
599886.4042436356,9587663.373399545,0.22382355,144088538.3524288,0.009015854,1,0,0.364,6.173913,2,18.039583,-0.0046524573,0.05759463,-0.06685275
599884.0606237678,9587655.953969056,0.25887108,144088538.35353336,0.00918132,1,0,0.336,5.75,1,18.039568,-0.0046524564,0.05759462,-0.06685264
599881.5777032065,9587648.106595157,0.19953346,144088538.35470235,0.008400343,1,0,0.38,5.5416665,0,18.039568,-0.0046524564,0.05759441,-0.06685234
599879.3625246519,9587641.11615739,0.20702744,144088538.35574442,0.009079349,1,0,0.38599998,6.4545455,0,18.03953,-0.0046524564,0.057594404,-0.066852115
599877.3896326476,9587634.903139029,0.08548927,144088538.35667065,0.009292289,1,0,0.37199998,7.0,0,18.039509,-0.0046524564,0.057594404,-0.066852026
599875.8146638379,9587629.949359972,-0.08008003,144088538.35740948,0.009221295,1,0,0.362,8.166667,0,18.039436,-0.004652456,0.0575944,-0.06685218
599874.0779351377,9587624.492724149,-0.23234177,144088538.3582235,0.017871764,1,0,0.133,9.3125,0,18.039394,-0.0046524554,0.0575944,-0.066852205
599873.2318480524,9587621.836431704,-0.2661476,144088538.35861954,0.030624645,2,0,0.09599999,11.416667,0,18.039392,-0.004652456,0.0575944,-0.06685218
599872.3021640658,9587618.919732498,-0.29568672,144088538.35905445,0.03371591,2,0,0.095,12.454545,0,18.039392,-0.004652456,0.057594404,-0.066852085
599871.2696841158,9587615.68205234,-0.2507038,144088538.3595369,0.05120919,4,0,0.062,14.5,0,18.039394,-0.0046524564,0.057594404,-0.066852026
599870.1099847427,9587612.049292358,-0.26906967,144088538.3600789,0.03146088,4,0,0.042999998,15.0,0,18.039389,-0.0046524554,0.057594396,-0.06685182
599869.3266243413,9587609.598111862,-0.26976013,144088538.3604445,0.044091757,4,0,0.032,15.777778,0,18.039345,-0.004652457,0.057594407,-0.066851616
599868.3653701571,9587606.591504484,-0.27204323,144088538.3608924,0.04316264,4,0,0.029,15.7,0,18.039312,-0.0046524564,0.05759438,-0.06685155
599867.4963338112,9587603.87491395,-0.26334572,144088538.36129752,0.042870034,4,0,0.031,15.8,0,18.039312,-0.0046524564,0.05759438,-0.06685155
599866.756702988,9587601.564638078,-0.26434708,144088538.36164203,0.04924564,4,0,0.011999999,16.0,0,18.039312,-0.004652458,0.05759439,-0.06685142
599865.7961754154,9587598.565971993,-0.26554108,144088538.3620886,0.048771717,4,0,0.025999999,15.2,0,18.039312,-0.0046524564,0.05759438,-0.066851616
599864.9330847579,9587595.87318946,-0.2535324,144088538.3624896,0.04611254,4,0,0.025999999,14.9,0,18.039312,-0.004652457,0.057594385,-0.06685144
599864.0766256606,9587593.203357328,-0.25232315,144088538.3628872,0.046002448,4,0,0.038,14.7,0,18.039309,-0.0046524573,0.057594385,-0.06685149
599863.1601751115,9587590.34837271,-0.2404499,144088538.3633124,0.06912902,2,0,0.042,13.0,0,18.039263,-0.004652458,0.057594385,-0.066851474
599861.8373601758,9587586.231151847,-0.24216652,144088538.3639253,0.028023174,1,0,0.058,10.461538,0,18.03924,-0.00465246,0.057594378,-0.066851474
599860.24198606,9587581.272007251,-0.22749901,144088538.36466292,0.040125646,1,0,0.069,8.588235,0,18.03924,-0.00465246,0.057594378,-0.066851474
599858.1675123444,9587574.830985272,-0.20944977,144088538.3656209,0.024557322,1,0,0.071,8.235294,0,18.039177,-0.0046524773,0.05759438,-0.06685096
599856.7752679856,9587570.513065891,-0.2180767,144088538.36626223,0.027110372,1,0,0.073,8.75,0,18.039167,-0.0046524773,0.057594333,-0.066850476
599855.0479967816,9587565.162025675,-0.19033241,144088538.36705697,0.042227164,1,0,0.074,7.4,0,18.039148,-0.0046524787,0.057594325,-0.06685026
599852.2164461331,9587556.389311248,-0.15766525,144088538.36836058,0.03467019,1,0,0.078999996,5.4615383,0,18.039143,-0.004652479,0.057594325,-0.06685011
599849.3795377483,9587547.634233585,-0.16613007,144088538.36965704,0.025655398,1,0,0.117,5.423077,0,18.039083,-0.0046524787,0.057594325,-0.066849746
599846.8338077324,9587539.81498881,-0.17885017,144088538.37080923,0.021419322,1,0,0.128,5.4615383,0,18.039064,-0.0046524806,0.057594325,-0.0668497
599844.4035312554,9587532.357959049,-0.18954849,144088538.37190723,0.031840406,1,0,0.098,6.521739,0,18.039017,-0.004652491,0.057594325,-0.06684967
599842.2652150092,9587525.79982124,-0.2007904,144088538.37287202,0.035544105,1,0,0.08499999,7.55,0,18.038994,-0.0046524955,0.057594307,-0.06684951
599840.6709185373,9587520.912929691,-0.22019196,144088538.37359065,0.051500358,1,0,0.069,9.5,0,18.038994,-0.0046524955,0.057594307,-0.06684951
599839.5355634916,9587517.434323406,-0.25280952,144088538.3741021,0.036501482,1,0,0.067,10.923077,0,18.03893,-0.0046524955,0.057594307,-0.066849545
599838.529599694,9587514.351638908,-0.27445984,144088538.37455517,0.03663306,2,0,0.062,12.272727,0,18.038923,-0.0046524955,0.057594307,-0.06684916
599837.4654686049,9587511.089519167,-0.25679207,144088538.37503424,0.026477875,2,0,0.094,13.636364,0,18.038885,-0.0046524997,0.057594307,-0.06684895
599836.2813255881,9587507.46270139,-0.32102585,144088538.37556717,0.04297409,4,1,0.081999995,14.090909,0,18.038883,-0.0046524997,0.057594307,-0.066849075
599835.3090774253,9587504.483238991,-0.3001976,144088538.3760047,0.03629572,4,1,0.075,14.7,0,18.038883,-0.0046524997,0.057594307,-0.06684912
599834.4853399578,9587501.958581086,-0.29258156,144088538.3763751,0.034419183,4,0,0.073,15.0,0,18.038889,-0.0046524997,0.057594307,-0.066849105
599833.3880421343,9587498.595067067,-0.260067,144088538.37686932,0.05545173,4,0,0.047,14.3,0,18.038885,-0.0046524997,0.0575943,-0.06684901
599832.3734527886,9587495.485264324,-0.23179626,144088538.37732604,0.04500091,2,0,0.042999998,13.090909,0,18.038837,-0.0046525006,0.0575943,-0.0668491
599831.1987733565,9587491.88393768,-0.30106544,144088538.37785462,0.041151557,2,1,0.049,13.0,0,18.038815,-0.0046525043,0.057594292,-0.06684906
599830.1495569666,9587488.666491278,-0.2965107,144088538.3783271,0.03508484,2,1,0.058,12.545455,0,18.038813,-0.0046525043,0.057594292,-0.06684907
599828.8794040717,9587484.770163149,-0.25712967,144088538.37889913,0.026014999,2,0,0.063999996,12.583333,0,18.038815,-0.0046525043,0.057594292,-0.06684893
599827.8750279491,9587481.687128166,-0.31284332,144088538.37935182,0.030611387,2,1,0.065,13.0,0,18.038813,-0.0046525043,0.057594292,-0.066849045
599826.6987880042,9587478.075604845,-0.26724815,144088538.37988165,0.017884672,1,0,0.081999995,10.769231,0,18.03879,-0.004652509,0.057594292,-0.066848755
599824.8272492527,9587472.326594103,-0.24347496,144088538.38072586,0.025193952,1,0,0.087,8.411765,0,18.038734,-0.004652516,0.057594292,-0.0668483
599822.9729319783,9587466.625595212,-0.22585678,144088538.38156313,0.0247564,1,0,0.10599999,7.9444447,0,18.03873,-0.0046525165,0.057594292,-0.06684849
599821.2076238631,9587461.192355191,-0.17473412,144088538.38236097,0.02378761,1,0,0.122999996,7.1578946,0,18.03866,-0.0046525346,0.057594292,-0.06684851
599818.7888576017,9587453.739760969,-0.13965988,144088538.3834558,0.025610747,1,0,0.11,6.4761906,0,18.038609,-0.0046525383,0.05759429,-0.0668484
599816.7779891989,9587447.536313498,-0.16209984,144088538.3843675,0.020897333,1,0,0.144,7.5,0,18.038595,-0.004652539,0.057594273,-0.06684851
599815.2614981871,9587442.853569765,-0.19575691,144088538.3850562,0.017140705,1,0,0.15,8.875,0,18.038595,-0.0046525393,0.057594273,-0.06684824
599814.0219435064,9587439.022685535,-0.21432686,144088538.38561958,0.024929166,1,0,0.109,9.4,0,18.038595,-0.0046525393,0.057594273,-0.06684771
599812.27690844,9587433.621653674,-0.1776619,144088538.38641438,0.019809235,1,0,0.122999996,7.105263,0,18.038555,-0.004652544,0.05759427,-0.06684718
599809.4401903377,9587424.837179948,-0.13411713,144088538.38770655,0.019427564,1,0,0.122999996,5.4,0,18.038488,-0.004652544,0.05759427,-0.06684731
599806.6269945153,9587416.101449074,-0.12950325,144088538.38899368,0.024693143,1,0,0.099999994,5.269231,0,18.038439,-0.0046525565,0.057594217,-0.06684732
599804.0347456255,9587408.007176278,-0.1132164,144088538.39019012,0.025644086,1,0,0.095,5.3461537,0,18.03842,-0.0046525584,0.057594214,-0.06684713
599801.3851753024,9587399.703487944,-0.090019226,144088538.3914198,0.02540747,1,0,0.134,6.0,0,18.038374,-0.004652559,0.057594214,-0.06684699
599799.3256480291,9587393.240225945,-0.15631485,144088538.39237726,0.021779647,1,0,0.16999999,7.631579,0,18.038336,-0.00465256,0.0575942,-0.06684677
